,Transit_Time,NormalValue,Transit_Time_Score
"10 PALMER AVENUE,10302,NYC",5315.0,21.530886302596244,1.2918531781557745
"10 PARK AVENUE,10016,NYC",1153.0,83.6317517159057,5.017905102954342
"10 PENN STREET,10314,NYC",4595.0,32.27394807520143,1.9364368845120858
"10 PRAGUE COURT,10309,NYC",5397.0,20.307370934049544,1.2184422560429726
"10 PROSPECT PARK SW,11215,NYC",2033.0,70.50134288272157,4.230080572963295
"10 REEVE PLACE,11218,NYC",2396.0,65.08504923903313,3.9051029543419875
"10 RUTGERS STREET,10002,NYC",1767.0,74.47030737093405,4.468218442256043
"10 SOUTH DRUM STREET,10309,NYC",5591.0,17.412712623097576,1.0447627573858544
"10 SOUTH OXFORD STREET,11217,NYC",1523.0,78.11101163831692,4.686660698299015
"10 ST JAMES PLACE,10304,NYC",4801.0,29.200238734706062,1.7520143240823636
"10 SULLIVAN STREET,10012,NYC",1909.0,72.35153685467024,4.341092211280214
"10 TRINA LANE,10309,NYC",5308.0,21.635332736496565,1.2981199641897938
"10 WALKER DRIVE,10303,NYC",4982.0,26.499552372426137,1.589973142345568
"10 WEST 122 STREET,10027,NYC",2294.0,66.60698299015219,3.9964189794091314
"10 WEST 14 ROAD,11693,NYC",4745.0,30.03581020590869,1.8021486123545212
"10 WEST 65 STREET,10023,NYC",1619.0,76.67860340196955,4.600716204118173
"10 WEST END AVENUE,10023,NYC",2021.0,70.68039391226499,4.240823634735899
"10 WINDSOR PLACE,11215,NYC",2425.0,64.6523425843032,3.879140555058192
"10-01 162 STREET,11357,NYC",3703.0,45.583407937928975,2.7350044762757384
"10-07 127 STREET,11356,NYC",3281.0,51.88003581020591,3.1128021486123547
"10-09 154 STREET,11357,NYC",3534.0,48.10504327066547,2.8863025962399282
"10-10 117 STREET,11356,NYC",3335.0,51.07430617726052,3.0644583706356308
"10-10 166 STREET,11357,NYC",3750.0,44.88212473888391,2.6929274843330346
"10-11 162 STREET,11357,NYC",3723.0,45.28498955535662,2.717099373321397
"10-11 NAMEOKE STREET,11691,NYC",5294.0,21.844225604297236,1.3106535362578342
"10-16 148 STREET,11357,NYC",3474.0,49.00029841838257,2.940017905102954
"10-16 CHURCH ROAD,11693,NYC",4886.0,27.931960608773494,1.6759176365264097
"10-17 JACKSON AVENUE,11101,NYC",405.0,94.79259922411221,5.687555953446732
"10-21 162 STREET,11357,NYC",3783.0,44.389734407639516,2.663384064458371
"10-23 117 STREET,11356,NYC",3311.0,51.43240823634736,3.085944494180841
"10-24 166 STREET,11357,NYC",3771.0,44.56878543718293,2.674127126230976
"10-26 152 STREET,11357,NYC",3707.0,45.5237242614145,2.7314234556848698
"10-34 166 STREET,11357,NYC",3780.0,44.43449716502536,2.6660698299015215
"10-35 116 STREET,11356,NYC",3351.0,50.83557147120263,3.0501342882721576
"10-36 BAY 31 STREET,11691,NYC",5207.0,23.142345568487016,1.3885407341092209
"10-40 46 ROAD,11101,NYC",286.0,96.56818860041778,5.794091316025066
"10-41 MC BRIDE STREET,11691,NYC",5157.0,23.888391524917935,1.433303491495076
"10-45 TOTTEN STREET,11357,NYC",4060.0,40.25663980901224,2.4153983885407344
"10-46 JACKSON AVENUE,11101,NYC",300.0,96.35929573261713,5.781557743957028
"10-48 READS LANE,11691,NYC",5151.0,23.977917039689643,1.4386750223813785
"10-49 BURTON STREET,11357,NYC",4005.0,41.07729036108624,2.4646374216651745
"10-53 DICKENS STREET,11691,NYC",5109.0,24.604595643091614,1.4762757385854968
"10-55 115 STREET,11356,NYC",3371.0,50.53715308863026,3.032229185317816
"10-55 47 AVENUE,11101,NYC",207.0,97.74694121157863,5.864816472694717
"10-55 MC BRIDE STREET,11691,NYC",5177.0,23.58997314234557,1.4153983885407342
"10-63 JACKSON AVENUE,11101,NYC",231.0,97.3888391524918,5.843330349149507
"100 11 AVENUE,10011,NYC",2154.0,68.69591166815876,4.121754700089525
"100 ACACIA AVENUE,10308,NYC",5443.0,19.621008654133092,1.1772605192479855
"100 AVENUE A,10009,NYC",1817.0,73.72426141450313,4.423455684870188
"100 AVENUE P,11204,NYC",3927.0,42.241122053118474,2.5344673231871084
"100 AVENUE T,11223,NYC",4058.0,40.28648164726947,2.417188898836168
"100 BENNETT AVENUE,10033,NYC",2623.0,61.69800059683676,3.7018800358102055
"100 CENTRAL PARK SOUTH,10019,NYC",1208.0,82.8111011638317,4.968666069829902
"100 CODDINGTON AVENUE,10306,NYC",4942.0,27.09638913757088,1.6257833482542527
"100 COLFAX AVENUE,10306,NYC",4940.0,27.126230975828108,1.6275738585496864
"100 COVERT STREET,11207,NYC",2259.0,67.12921515965382,4.027752909579229
"100 CROWELL AVENUE,10314,NYC",4668.0,31.184720978812294,1.8710832587287376
"100 DALEHAM STREET,10308,NYC",5504.0,18.71083258728737,1.1226499552372422
"100 DUER AVENUE,10305,NYC",4096.0,39.71948672038198,2.3831692032229186
"100 ENGERT AVENUE,11222,NYC",814.0,88.68994330050731,5.3213965980304385
"100 ESSEX STREET,11208,NYC",2743.0,59.90749030140257,3.594449418084154
"100 HAWKINS STREET,10464,NYC",4999.0,26.245896747239627,1.5747538048343774
"100 HUDSON STREET,10013,NYC",1941.0,71.87406744255446,4.312444046553267
"100 JAY STREET,11201,NYC",2130.0,69.0540137272456,4.143240823634736
"100 KENMORE STREET,10312,NYC",4783.0,29.468815279021186,1.768128916741271
"100 LENOX ROAD,11226,NYC",2886.0,57.77379886601015,3.4664279319606086
"100 LIGHTHOUSE COURT,10473,NYC",4899.0,27.737988660101465,1.6642793196060879
"100 MACORMAC PLACE,10303,NYC",5117.0,24.485228290062665,1.4691136974037597
"100 MALCOLM X BOULEVARD,11221,NYC",2399.0,65.04028648164727,3.902417188898836
"100 MARCUS GARVEY BOULEVARD,11206,NYC",1475.0,78.8272157564906,4.729632945389436
"100 MARION AVENUE,10304,NYC",5202.0,23.21695016413011,1.3930170098478065
"100 NEWEL STREET,11222,NYC",780.0,89.19725455088033,5.35183527305282
"100 NORFOLK STREET,10002,NYC",1990.0,71.14294240525217,4.26857654431513
"100 NORTH 3 STREET,11249,NYC",1489.0,78.61832288868995,4.717099373321396
"100 OVERLOOK TERRACE,10040,NYC",2727.0,60.14622500746046,3.6087735004476276
"100 PIAVE AVENUE,10305,NYC",4322.0,36.34735899731424,2.180841539838854
"100 PILOT STREET,10464,NYC",4998.0,26.260817666368254,1.5756490599820951
"100 PINE STREET,11208,NYC",2719.0,60.26559236048941,3.6159355416293644
"100 PITNEY AVENUE,10309,NYC",5416.0,20.023873470605793,1.2014324082363474
"100 QUINLAN AVENUE,10314,NYC",4668.0,31.184720978812294,1.8710832587287376
"100 READE STREET,10013,NYC",1760.0,74.57475380483437,4.474485228290062
"100 REMSEN STREET,11201,NYC",2338.0,65.950462548493,3.9570277529095796
"100 RIVERSIDE BOULEVARD,10069,NYC",2001.0,70.97881229483735,4.258728737690241
"100 RIVERSIDE DRIVE,10024,NYC",1894.0,72.57535064159953,4.354521038495972
"100 RYERSON STREET,11205,NYC",1803.0,73.93315428230379,4.435989256938227
"100 SEGUINE PLACE,10312,NYC",5506.0,18.68099074903013,1.1208594449418077
"100 SLATER BOULEVARD,10305,NYC",5011.0,26.06684571769621,1.5640107430617727
"100 STARR STREET,11237,NYC",1744.0,74.81348851089227,4.488809310653536
"100 SUMMIT STREET,11231,NYC",2315.0,66.29364368845121,3.9776186213070726
"100 UNITED NATIONS PLAZA,10017,NYC",1215.0,82.70665472993136,4.9623992837958815
"100 VINELAND AVENUE,10312,NYC",5989.0,11.474186809907494,0.6884512085944496
"100 WEST 119 STREET,10026,NYC",2160.0,68.60638615338705,4.116383169203223
"100 WEST 141 STREET,10030,NYC",2665.0,61.07132199343479,3.6642793196060874
"100 WEST 18 STREET,10011,NYC",1570.0,77.40972843927186,4.644583706356311
"100 WEST 39 STREET,10018,NYC",1069.0,84.88510892270963,5.093106535362578
"100 WEST 58 STREET,10019,NYC",1272.0,81.85616233960012,4.911369740376007
"100 WEST 72 STREET,10023,NYC",1591.0,77.09638913757087,4.625783348254251
"100 WEST 81 STREET,10024,NYC",1811.0,73.81378692927484,4.42882721575649
"100 WEST 89 STREET,10024,NYC",1981.0,71.27723067740973,4.276633840644584
"100 WEST 93 STREET,10025,NYC",2038.0,70.42673828707848,4.2256042972247085
"100 WEST 94 STREET,10025,NYC",1957.0,71.63533273649657,4.298119964189794
"100 WOODS OF ARDEN ROAD,10312,NYC",5462.0,19.337511190689355,1.1602506714413612
"100-04 88 AVENUE,11418,NYC",2722.0,60.22082960310355,3.6132497761862132
"100-08 ROCKAWAY BEACH BOULEVARD,11694,NYC",4726.0,30.31930766935244,1.8191584601611464
"100-09 198 STREET,11423,NYC",3659.0,46.23992837958818,2.7743957027752906
"100-09 88 AVENUE,11418,NYC",2702.0,60.51924798567592,3.631154879140555
"100-10 67 ROAD,11375,NYC",1952.0,71.70993733213966,4.30259623992838
"100-11 41 AVENUE,11368,NYC",1731.0,75.00746045956431,4.500447627573859
"100-11 67 ROAD,11375,NYC",1960.0,71.59056997911071,4.2954341987466425
"100-15 210 STREET,11429,NYC",3743.0,44.98657117278424,2.6991942703670544
"100-16 88 AVENUE,11418,NYC",2694.0,60.63861533870487,3.638316920322292
"100-17 133 AVENUE,11417,NYC",3383.0,50.35810205908684,3.0214861235452104
"100-18 35 AVENUE,11368,NYC",1727.0,75.06714413607878,4.504028648164726
"100-18 75 AVENUE,11375,NYC",2641.0,61.42942405252164,3.6857654431512983
"100-18 92 AVENUE,11418,NYC",3265.0,52.1187705162638,3.127126230975828
"100-22 205 STREET,11423,NYC",3784.0,44.37481348851089,2.6624888093106533
"100-22 222 STREET,11429,NYC",3818.0,43.86750223813787,2.632050134288272
"100-22 90 AVENUE,11418,NYC",2796.0,59.116681587585795,3.5470008952551475
"100-23 39 AVENUE,11368,NYC",1441.0,79.33452700686362,4.760071620411817
"100-24 197 STREET,11423,NYC",3630.0,46.67263503431811,2.8003581020590866
"100-25 41 AVENUE,11368,NYC",1696.0,75.52969262906595,4.531781557743956
"100-25 QUEENS BOULEVARD,11375,NYC",1919.0,72.20232766338407,4.332139659803044
"100-26 67 ROAD,11375,NYC",1938.0,71.91883019994032,4.315129811996419
"100-27 207 STREET,11429,NYC",3711.0,45.46404058490003,2.727842435094002
"100-28 204 STREET,11423,NYC",3795.0,44.21068337809609,2.6526410026857654
"100-28 91 AVENUE,11418,NYC",3186.0,53.297523127424654,3.1978513876454793
"100-29 205 STREET,11423,NYC",3800.0,44.136078782453005,2.64816472694718
"100-32 197 STREET,11423,NYC",3647.0,46.4189794091316,2.785138764547896
"100-33 202 STREET,11423,NYC",3699.0,45.643091614443456,2.7385854968666075
"100-37 196 STREET,11423,NYC",3604.0,47.06057893166219,2.8236347358997316
"100-40 222 STREET,11429,NYC",4099.0,39.67472396299612,2.380483437779767
"100-40 FRANCIS LEWIS BOULEVARD,11429,NYC",3705.0,45.55356609967174,2.7332139659803043
"100-42 199 STREET,11423,NYC",3786.0,44.34497165025365,2.660698299015219
"100-54 FRANCIS LEWIS BOULEVARD,11429,NYC",3608.0,47.00089525514771,2.8200537153088625
"100-57 198 STREET,11423,NYC",3757.0,44.777678304983596,2.6866606982990158
"1000 ARDEN AVENUE,10312,NYC",6437.0,4.789615040286478,0.28737690241718866
"1000 BARBEY STREET,11207,NYC",4133.0,39.1674127126231,2.3500447627573857
"1000 CLOVE ROAD,10301,NYC",4847.0,28.51387645478961,1.7108325872873766
"1000 HALSEY STREET,11207,NYC",2414.0,64.81647269471799,3.888988361683079
"1000 PARK AVENUE,10028,NYC",1596.0,77.02178454192779,4.621307072515667
"10002 4 AVENUE,11209,NYC",3449.0,49.37332139659804,2.962399283795882
