,Drive_Time,NormalValue,Drive_Time_Score
"10 PALMER AVENUE,10302,NYC",4121.0,16.236469608659448,0.9741881765195668
"10 PARK AVENUE,10016,NYC",913.0,83.01415487094089,4.980849292256453
"10 PENN STREET,10314,NYC",3799.0,22.939217318900916,1.3763530391340548
"10 PRAGUE COURT,10309,NYC",4750.0,3.1432139883430494,0.18859283930058296
"10 PROSPECT PARK SW,11215,NYC",2446.0,51.10324729392173,3.0661948376353036
"10 REEVE PLACE,11218,NYC",2338.0,53.351373855120734,3.201082431307244
"10 RUTGERS STREET,10002,NYC",1294.0,75.08326394671107,4.504995836802664
"10 SOUTH DRUM STREET,10309,NYC",4569.0,6.9109075770191595,0.4146544546211495
"10 SOUTH OXFORD STREET,11217,NYC",1607.0,68.56786011656952,4.114071606994171
"10 ST JAMES PLACE,10304,NYC",3923.0,20.358034970857616,1.221482098251457
"10 SULLIVAN STREET,10012,NYC",1600.0,68.7135720233139,4.122814321398834
"10 TRINA LANE,10309,NYC",4447.0,9.450457951706909,0.5670274771024145
"10 WALKER DRIVE,10303,NYC",3932.0,20.1706910907577,1.2102414654454619
"10 WEST 122 STREET,10027,NYC",1820.0,64.13405495420483,3.8480432972522896
"10 WEST 14 ROAD,11693,NYC",2927.0,41.090757701915074,2.4654454621149045
"10 WEST 65 STREET,10023,NYC",1239.0,76.22814321398835,4.573688592839301
"10 WEST END AVENUE,10023,NYC",1542.0,69.92089925062447,4.195253955037468
"10 WINDSOR PLACE,11215,NYC",2357.0,52.95587010824313,3.177352206494588
"10-01 162 STREET,11357,NYC",2414.0,51.76935886761033,3.10616153205662
"10-07 127 STREET,11356,NYC",2450.0,51.019983347210655,3.061199000832639
"10-09 154 STREET,11357,NYC",2414.0,51.76935886761033,3.10616153205662
"10-10 117 STREET,11356,NYC",2541.0,49.12572855953372,2.9475437135720233
"10-10 166 STREET,11357,NYC",2418.0,51.68609492089925,3.101165695253955
"10-11 162 STREET,11357,NYC",2408.0,51.894254787676935,3.113655287260616
"10-11 NAMEOKE STREET,11691,NYC",3762.0,23.709408825978358,1.4225645295587015
"10-16 148 STREET,11357,NYC",2420.0,51.644462947543715,3.098667776852623
"10-16 CHURCH ROAD,11693,NYC",2863.0,42.42298084929226,2.5453788509575355
"10-17 JACKSON AVENUE,11101,NYC",250.0,96.81515403830142,5.808909242298085
"10-21 162 STREET,11357,NYC",2422.0,51.60283097418817,3.0961698584512902
"10-23 117 STREET,11356,NYC",2547.0,49.000832639467106,2.9400499583680264
"10-24 166 STREET,11357,NYC",2415.0,51.74854288093256,3.1049125728559535
"10-26 152 STREET,11357,NYC",2435.0,51.332223147377185,3.079933388842631
"10-34 166 STREET,11357,NYC",2413.0,51.7901748542881,3.1074104912572857
"10-35 116 STREET,11356,NYC",2532.0,49.31307243963364,2.9587843463780183
"10-36 BAY 31 STREET,11691,NYC",3693.0,25.14571190674438,1.5087427144046628
"10-40 46 ROAD,11101,NYC",149.0,98.91756869275603,5.935054121565362
"10-41 MC BRIDE STREET,11691,NYC",3825.0,22.398001665278926,1.3438800999167355
"10-45 TOTTEN STREET,11357,NYC",2413.0,51.7901748542881,3.1074104912572857
"10-46 JACKSON AVENUE,11101,NYC",210.0,97.64779350541215,5.858867610324729
"10-48 READS LANE,11691,NYC",3577.0,27.560366361365524,1.6536219816819313
"10-49 BURTON STREET,11357,NYC",2421.0,51.62364696086594,3.097418817651956
"10-53 DICKENS STREET,11691,NYC",3721.0,24.562864279766856,1.4737718567860114
"10-55 115 STREET,11356,NYC",2518.0,49.6044962531224,2.976269775187344
"10-55 47 AVENUE,11101,NYC",273.0,96.33638634471274,5.780183180682764
"10-55 MC BRIDE STREET,11691,NYC",3821.0,22.48126561199001,1.3488759367194005
"10-63 JACKSON AVENUE,11101,NYC",168.0,98.52206494587844,5.911323896752706
"100 11 AVENUE,10011,NYC",1662.0,67.42298084929226,4.045378850957535
"100 ACACIA AVENUE,10308,NYC",4574.0,6.806827643630314,0.4084096586178188
"100 AVENUE A,10009,NYC",1170.0,77.66444629475437,4.659866777685262
"100 AVENUE P,11204,NYC",3267.0,34.01332223147378,2.0407993338884265
"100 AVENUE T,11223,NYC",3393.0,31.390507910074945,1.8834304746044965
"100 BENNETT AVENUE,10033,NYC",2992.0,39.737718567860114,2.3842631140716066
"100 CENTRAL PARK SOUTH,10019,NYC",987.0,81.47377185678602,4.88842631140716
"100 CODDINGTON AVENUE,10306,NYC",4100.0,16.67360532889259,1.0004163197335554
"100 COLFAX AVENUE,10306,NYC",3993.0,18.900915903413818,1.134054954204829
"100 COVERT STREET,11207,NYC",2297.0,54.20482930890924,3.252289758534554
"100 CROWELL AVENUE,10314,NYC",3864.0,21.586178184845963,1.2951706910907577
"100 DALEHAM STREET,10308,NYC",4443.0,9.533721898417994,0.5720233139050797
"100 DUER AVENUE,10305,NYC",3377.0,31.72356369691923,1.9034138218151537
"100 ENGERT AVENUE,11222,NYC",771.0,85.97002497918402,5.1582014987510405
"100 ESSEX STREET,11208,NYC",2194.0,56.3488759367194,3.380932556203164
"100 HAWKINS STREET,10464,NYC",3090.0,37.697751873438804,2.261865112406328
"100 HUDSON STREET,10013,NYC",1922.0,62.01082431307244,3.7206494587843464
"100 JAY STREET,11201,NYC",1343.0,74.06328059950042,4.443796835970025
"100 KENMORE STREET,10312,NYC",4469.0,8.992506244796004,0.5395503746877602
"100 LENOX ROAD,11226,NYC",2589.0,48.126561199000825,2.8875936719400492
"100 LIGHTHOUSE COURT,10473,NYC",2827.0,43.172356369691926,2.5903413821815153
"100 MACORMAC PLACE,10303,NYC",4202.0,14.550374687760197,0.8730224812656118
"100 MALCOLM X BOULEVARD,11221,NYC",1921.0,62.03164029975021,3.7218984179850123
"100 MARCUS GARVEY BOULEVARD,11206,NYC",1765.0,65.2789342214821,3.916736053288926
"100 MARION AVENUE,10304,NYC",3787.0,23.18900915903413,1.3913405495420477
"100 NEWEL STREET,11222,NYC",708.0,87.28143213988344,5.236885928393006
"100 NORFOLK STREET,10002,NYC",1265.0,75.68692756036637,4.541215653621982
"100 NORTH 3 STREET,11249,NYC",1058.0,79.99583680266444,4.799750208159867
"100 OVERLOOK TERRACE,10040,NYC",3068.0,38.15570358034971,2.2893422148209823
"100 PIAVE AVENUE,10305,NYC",3592.0,27.248126561199,1.63488759367194
"100 PILOT STREET,10464,NYC",3141.0,36.636136552872614,2.1981681931723567
"100 PINE STREET,11208,NYC",2292.0,54.308909242298085,3.258534554537885
"100 PITNEY AVENUE,10309,NYC",4571.0,6.86927560366361,0.41215653621981657
